1|20220101|Sprite|2.5|3
2|20220102|Mountain Dew|3.2|3
3|20220103|Fanta|2.8|3
4|20220104|Pepsi|3.0|2
5|20220105|Coca-cola|2.5|5
6|20220106|Dr. Pepper|30.5|1
7|20220107|Schweppes|2.0|3
8|20220108|7UP|2.3|3
9|20220109|Root Beer|22.7|2
10|20220110|Lemonade|2.0|5
11|20220111|Iced Tea|2.5|3
12|20220112|Ginger Ale|3.0|3
13|20220113|Orange Crush|2.8|3
14|20220114|Watermelon Soda|22.5|2
15|20220115|Cherry Fizz|3.0|5
16|20220116|Cola Zero|32.0|1
17|20220117|Dr. Pepper|3.5|4
18|20220118|Mountain Twist|3.2|3
19|20220119|Lime Spark|2.8|5
20|20220120|Sarsaparilla|25.7|2
